             AIRFOIL_NAME,          CLDMAX,      DELALP, FLAG
                 e374.dat,   102.881619938,       13.50, 0000 
                 e376.dat,   149.164948454,        4.25, 0000 
                 e377.dat,   155.762331839,        4.25, 0000 
                e377m.dat,   136.464032421,        4.50, 0000 
                 e378.dat,   134.209302326,        8.25, 0000 
                 e379.dat,   159.960578187,        2.00, 0000 
                 e385.dat,   170.014367816,       12.25, 0000 
                 e387.dat,   138.596491228,        7.00, 0000 
                 e392.dat,   142.694610778,       10.25, 0000 
                 e393.dat,   148.755426918,       12.25, 0000 
                 e395.dat,   161.339285714,       13.50, 0000 
                 e396.dat,   166.097222222,       16.00, 0000 
                 e397.dat,   161.983122363,       15.00, 0000 
                 e398.dat,   157.853470437,       16.25, 0000 
                 e399.dat,   155.742331288,       16.75, 0000 
                 e403.dat,   132.178861789,       13.75, 0000 
                 e407.dat,   138.861788618,       13.25, 0000 
                 e417.dat,   124.899665552,       12.75, 0000 
                 e420.dat,   131.336593317,        7.50, 0000 
                 e421.dat,   137.341417910,        7.50, 0000 
                 e422.dat,   139.513564079,        6.00, 0000 
                 e423.dat,   149.831683168,        6.25, 0000 
                 e426.dat,    87.748161765,        6.50, 0000 
                 e428.dat,     0.000000000,        0.00, 0077 
                 e431.dat,   142.503144654,       14.25, 0000 
                 e432.dat,   138.699095023,        9.75, 0000 
                 e433.dat,   141.643258427,       12.75, 0000 
                 e434.dat,   143.223140496,        9.50, 0000 
                 e435.dat,   145.357590966,       13.00, 0000 
                 e471.dat,   187.300215983,       12.25, 0000 
                 e472.dat,    90.639585134,        7.50, 0000 
                 e473.dat,    99.533632287,        6.00, 0000 
                 e474.dat,    93.391608392,        7.00, 0000 
                 e475.dat,    86.740740741,        2.00, 0000 
                 e476.dat,    73.628048780,        8.50, 0000 
                 e477.dat,    75.603813559,        8.75, 0000 
                 e478.dat,    90.426716141,        7.25, 0000 
                 e479.dat,    92.373646209,        6.50, 0000 
                 e485.dat,    78.307372793,        7.75, 0000 
                  e49.dat,   139.261447563,       14.00, 0000 
                 e502.dat,   101.410256410,       11.25, 0000 
                 e520.dat,    66.022845275,        9.25, 0000 
                 e521.dat,    63.666666667,        9.50, 0000 
                 e540.dat,    94.174496644,       13.25, 0000 
                 e541.dat,    94.467532468,        0.25, 0000 
                 e542.dat,    93.866822430,       13.50, 0000 
                 e543.dat,   104.007092199,       11.00, 0000 
                 e544.dat,   108.502415459,       13.25, 0000 
                 e545.dat,   102.264600715,       13.00, 0000 
                 e546.dat,    99.264367816,       11.50, 0000 
                 e547.dat,   107.984496124,       10.00, 0000 
                 e548.dat,   111.591375770,        3.25, 0000 
                 e549.dat,   114.228694714,       12.00, 0000 
                 e550.dat,   119.750260146,        3.50, 0000 
                 e551.dat,   116.414686825,        2.75, 0000 
                 e552.dat,   125.431841831,        3.00, 0000 
                 e553.dat,   117.502527806,        9.75, 0000 
                 e554.dat,   122.641509434,        4.50, 0000 
                 e555.dat,   108.257345491,        9.50, 0000 
                 e556.dat,   110.958466454,        9.50, 0000 
                 e557.dat,   118.084415584,       12.25, 0000 
                 e558.dat,   123.051881994,        4.00, 0000 
                 e559.dat,   128.003857281,        6.75, 0000 
                 e560.dat,   129.059405941,        7.00, 0000 
                 e561.dat,   131.897533207,        6.50, 0000 
                 e562.dat,   126.808080808,        8.50, 0000 
                  e58.dat,   239.790794979,        9.50, 0000 
                 e580.dat,   129.083063646,       12.25, 0000 
                 e582.dat,   138.370098039,       12.00, 0000 
                 e583.dat,   140.237812128,       12.75, 0000 
                 e584.dat,   130.925714286,       14.50, 0000 
                 e585.dat,   141.806282723,       10.50, 0000 
                 e587.dat,   142.669126691,       14.00, 0000 
                  e59.dat,   208.674698795,       11.25, 0000 
                 e591.dat,   127.638888889,       10.25, 0000 
                 e593.dat,   144.121212121,        3.75, 0000 
                 e598.dat,   134.496314496,        4.75, 0000 
                 e603.dat,   129.377729258,        1.75, 0000 
                 e604.dat,   132.526439483,       12.75, 0000 
                  e61.dat,   214.817073171,       13.00, 0000 
                  e62.dat,   190.251046025,       10.75, 0000 
                 e625.dat,    92.749391727,        3.00, 0000 
                  e63.dat,   145.557163531,        8.75, 0000 
                 e635.dat,   104.091350826,        3.75, 0000 
                 e636.dat,   115.996112731,        3.25, 0000 
                 e637.dat,   121.729957806,        2.50, 0000 
                 e638.dat,   126.515311510,        3.50, 0000 
                 e639.dat,   130.406342914,        3.00, 0000 
                  e64.dat,   123.127340824,        9.00, 0000 
                 e642.dat,   119.045226131,       12.50, 0000 
                 e654.dat,   155.928571429,       13.75, 0000 
                 e655.dat,   145.895140665,        2.50, 0000 
                 e656.dat,   158.567807351,        1.75, 0000 
                 e657.dat,   158.697421981,       12.00, 0000 
                  e66.dat,   145.217391304,       12.00, 0000 
                 e662.dat,   149.870689655,       14.75, 0000 
                 e664.dat,   117.865311309,       11.50, 0000 
               e664ex.dat,   144.006024096,       11.75, 0000 
                 e668.dat,   152.775193798,       14.25, 0000 
                  e67.dat,   142.186495177,       11.25, 0000 
                 e678.dat,   132.721518987,       12.50, 0000 
                  e68.dat,   125.928473177,       12.75, 0000 
                 e682.dat,   112.000000000,       13.00, 0000 
                 e694.dat,   149.166666667,        1.50, 0000 
                  e71.dat,   200.915841584,       10.00, 0000 
                 e715.dat,   131.614077670,        9.50, 0000 
                 e748.dat,   116.431501231,        7.00, 0000 
                 e793.dat,   126.073194857,        6.25, 0000 
                 e817.dat,     0.000000000,        0.00, 0077 
                 e818.dat,   100.763209393,        8.25, 0000 
                 e836.dat,    46.125000000,        1.25, 0000 
                 e837.dat,    72.357723577,       11.50, 0000 
                 e838.dat,    72.493261456,       13.75, 0000 
                 e850.dat,    92.955974843,        4.75, 0000 
